房价（元/平米）,室,厅,卫,面积（平米）,楼层,建成年份
65657,2,1,1,49.5,6,1993
90666,2,1,1,48.53,6,1982
71271,1,1,1,36.2,6,1983
83895,3,2,2,145.42,30,2002
64511,2,1,1,63.4,6,1990
98187,1,1,1,39.72,6,1990
34443,3,1,1,86.81,6,2001
87676,1,0,1,40.49,6,1989
63901,2,1,1,57.12,6,1996
91811,2,1,1,67.53,6,1994
56127,1,1,1,42.76,6,1983
83515,2,1,1,105.37,18,2006
68437,2,1,1,73.79,6,1997
83404,2,1,1,70.5,6,1994
103407,2,1,1,75.43,6,1996
67954,2,1,1,68.87,6,1996
63129,2,1,1,50.69,6,1987
69241,2,1,1,61.38,6,1996
68428,1,1,1,39.75,6,1986
87797,3,2,2,119.48,6,2002
73128,1,1,1,45.81,6,1989
56860,1,1,1,54.52,16,2005
84786,2,1,1,63.1,6,1994
43051,1,1,1,52.96,5,2007
71040,2,1,1,84.46,6,1998
104128,2,1,1,53.3,6,1989
59177,2,1,1,51.54,6,1983
71948,2,1,1,78.39,18,1996
65233,1,1,1,41.39,6,1986
41506,2,1,1,77.58,6,1998
71303,2,0,1,56.8,6,1994
66913,2,1,1,67.7,6,1994
64597,1,1,1,55.73,6,1997
76320,1,1,1,48.48,7,1998
50287,2,2,2,99.43,11,2002
59843,1,1,1,36.93,6,1982
79458,1,1,1,42.79,6,1995
60490,1,1,1,33.89,6,1984
90734,2,2,1,103.6,13,2002
60870,1,1,1,34.5,6,1986
62782,2,1,1,50.97,6,1985
54040,2,1,1,56.44,6,1988
54688,1,1,1,32,5,1954
61618,2,1,1,55.99,6,1985
61622,1,1,1,34.89,6,1986
57223,1,1,1,39.32,6,1986
83311,1,1,1,37.81,6,1984
78684,1,1,1,34.95,6,1986
85692,2,1,1,65.35,6,1987
65327,1,1,1,39.8,6,1988
64349,2,1,1,67.6,6,1993
25237,2,2,1,130.76,21,2012
77432,2,1,1,52.95,5,1984
37222,3,1,1,90,6,1994
92563,2,1,1,61.58,6,1990
84242,1,1,1,33,6,1986
69724,1,1,1,37.29,6,1995
89243,2,1,1,91.66,22,1991
73389,3,2,1,99.47,6,2003
85274,2,1,1,58.4,6,1993
67969,2,0,1,52.23,6,1986
61659,2,1,1,71.36,6,1993
48115,2,1,1,87.29,10,1998
66411,1,1,1,39.15,6,1984
98995,2,1,1,65.66,6,1993
102436,1,0,1,36.12,6,1987
57301,1,1,1,47.12,22,2012
58008,1,1,1,39.65,6,1989
69901,3,1,1,72.96,6,1994
79289,1,1,1,43.89,6,1994
67524,2,0,0,62.2,5,1986
67267,1,1,1,42.22,6,1995
65794,2,1,1,87.85,17,2009
62617,2,0,1,53.5,6,1994
82649,2,1,1,62.07,12,2005
81825,2,1,1,57.44,6,1994
55920,2,2,1,85.48,17,2007
79152,4,2,2,145.29,18,2005
70943,1,2,1,50.04,7,1988
73302,2,1,1,61.39,6,1993
81633,2,1,1,63.7,6,1996
50117,2,1,1,93.78,7,1997
54379,1,1,1,51.49,6,1994
68582,2,1,1,53.95,6,1983
63805,1,1,1,34.48,6,1984
52588,1,1,1,48.49,6,1995
72027,2,1,1,59.7,6,1996
62289,2,1,1,56.19,6,1994
35077,2,1,1,65.57,14,2009
65870,1,1,1,40.99,6,1984
83784,1,1,1,37,6,1986
33949,1,1,1,53.02,11,2009
59500,3,3,2,100,14,2005
54537,1,2,1,63.26,16,2008
62165,2,1,1,63.38,6,1995
77548,2,1,1,40.62,6,1988
91820,2,1,1,59.9,11,2006
61338,1,1,1,50.54,24,1995
71077,1,1,1,54.87,25,1990
69758,1,1,1,50.89,28,2004
63449,2,1,1,52.01,6,1987
107037,1,1,1,43.91,6,1992
71884,1,1,1,47.02,6,1996
71949,2,2,1,111.19,11,2003
60680,1,1,1,49.44,6,1995
76394,2,1,1,91.63,6,2003
35400,2,1,1,64.69,6,2012
54531,2,1,1,62.35,6,1995
55762,1,1,1,59.18,17,2010
63837,2,1,1,58.9,6,1996
95254,1,1,1,29.92,6,1989
57368,2,1,1,67.11,6,1994
65837,2,0,1,41.77,4,1979
76453,2,2,2,98.1,6,2002
81412,2,1,1,88.93,6,1995
57803,2,1,1,74.39,6,1998
53606,2,2,1,98.87,6,2001
35410,2,2,1,79.92,11,2009
71097,1,1,1,51.76,6,1996
59894,1,1,1,45.08,6,1997
77685,2,1,1,72.73,7,1996
38286,1,1,1,50.41,28,2014
70000,2,1,1,80,6,2000
53412,2,1,1,71.52,6,1993
99278,2,1,1,55.4,6,1988
70563,2,1,1,55.27,6,1993
56096,1,1,1,44.21,6,1994
78125,2,2,1,80,6,1998
67742,2,1,1,62,6,2004
54605,3,1,1,76,6,1998
65893,1,1,1,31.87,6,1989
71708,1,1,1,30.68,6,1989
60734,1,0,1,37.87,6,1989
77398,1,1,1,56.72,6,2003
90286,1,1,1,43.75,6,1994
35065,2,1,1,77,6,2009
87209,3,1,1,60.2,4,1993
61932,2,1,1,59.42,6,1994
74038,3,1,1,71.72,6,1993
142107,3,2,2,161.85,9,2011
61849,1,1,1,30.72,5,1953
89891,2,1,1,72.31,24,1992
89282,1,1,1,44.69,6,1989
61354,2,2,1,70.9,6,1995
65632,2,2,1,79.23,6,1995
80932,2,1,1,50.66,6,1984
75697,2,1,1,75.3,6,1996
69779,3,1,1,62.34,7,1988
65547,2,2,1,137,25,1998
59175,2,1,1,83.65,6,2006
79795,3,0,1,64.54,4,1980
74557,2,1,1,95.9,28,1995
74042,2,1,1,57.4,6,1984
72947,1,1,1,55.52,24,1993
67445,2,1,1,49.67,6,1984
70943,1,2,1,50.04,7,1988
72069,2,1,1,62.44,6,1993
68811,2,1,1,58.13,6,1990
55627,1,1,1,46.74,6,1994
